Date,Date,Close,High,Low,Open,Volume
0,2023-07-14 20:00:00,101.859375,101.8828125,101.85546875,101.87890625,0
1,2023-07-16 22:00:00,101.875,101.87890625,101.84765625,101.84765625,1688
2,2023-07-16 23:00:00,101.87890625,101.8828125,101.87890625,101.87890625,442
3,2023-07-17 00:00:00,101.8984375,101.90234375,101.875,101.875,3057
4,2023-07-17 01:00:00,101.8984375,101.90625,101.89453125,101.90234375,2249
5,2023-07-17 02:00:00,101.91015625,101.9140625,101.89453125,101.8984375,2356
6,2023-07-17 03:00:00,101.90234375,101.9140625,101.89453125,101.91015625,1989
7,2023-07-17 04:00:00,101.90625,101.90625,101.8984375,101.90234375,1121
8,2023-07-17 05:00:00,101.8984375,101.91015625,101.8984375,101.90625,1063
9,2023-07-17 06:00:00,101.921875,101.921875,101.8828125,101.90234375,7230
10,2023-07-17 07:00:00,101.8984375,101.9296875,101.88671875,101.91796875,11568
11,2023-07-17 08:00:00,101.93359375,101.94921875,101.90234375,101.90234375,11816
12,2023-07-17 09:00:00,101.95703125,101.96484375,101.92578125,101.9296875,9913
13,2023-07-17 10:00:00,101.953125,101.96484375,101.9453125,101.9609375,4381
14,2023-07-17 11:00:00,101.94140625,101.96484375,101.9375,101.94921875,7263
15,2023-07-17 12:00:00,101.9375,101.97265625,101.89453125,101.9453125,50689
16,2023-07-17 13:00:00,101.890625,101.9453125,101.859375,101.9375,50118
17,2023-07-17 14:00:00,101.890625,101.9140625,101.87890625,101.890625,26555
18,2023-07-17 15:00:00,101.90234375,101.90234375,101.8671875,101.890625,23803
19,2023-07-17 16:00:00,101.9140625,101.91796875,101.890625,101.90234375,14536
20,2023-07-17 17:00:00,101.92578125,101.93359375,101.90625,101.91796875,11123
21,2023-07-17 18:00:00,101.93359375,101.9375,101.921875,101.92578125,14570
22,2023-07-17 19:00:00,101.9140625,101.9375,101.89453125,101.9375,15788
23,2023-07-17 20:00:00,101.91015625,101.921875,101.91015625,101.9140625,0
24,2023-07-17 22:00:00,101.9140625,101.921875,101.9140625,101.9140625,664
25,2023-07-17 23:00:00,101.9296875,101.9296875,101.9140625,101.9140625,1150
26,2023-07-18 00:00:00,101.94140625,101.9453125,101.9140625,101.92578125,4332
27,2023-07-18 01:00:00,101.9375,101.9453125,101.93359375,101.94140625,2811
28,2023-07-18 02:00:00,101.94140625,101.9453125,101.94140625,101.94140625,1473
29,2023-07-18 03:00:00,101.94921875,101.94921875,101.94140625,101.9453125,994
30,2023-07-18 04:00:00,101.9609375,101.96484375,101.94140625,101.9453125,2190
31,2023-07-18 05:00:00,101.95703125,101.96875,101.94921875,101.96484375,3216
32,2023-07-18 06:00:00,101.98828125,101.98828125,101.9453125,101.95703125,8328
33,2023-07-18 07:00:00,102.01171875,102.03125,101.96875,101.98828125,13608
34,2023-07-18 08:00:00,102.0078125,102.03125,102.00390625,102.01171875,8686
35,2023-07-18 09:00:00,102.015625,102.01599884033203,101.98828125,102.0078125,9173
36,2023-07-18 10:00:00,102.0,102.01953125,101.9921875,102.015625,8932
37,2023-07-18 11:00:00,102.01171875,102.01953125,101.98828125,102.0,12723
38,2023-07-18 12:00:00,101.9921875,102.08203125,101.91796875,102.015625,124397
39,2023-07-18 13:00:00,101.9765625,102.02734375,101.96484375,101.9921875,58217
