Date,Date,Close,High,Low,Open,Volume
0,2023-07-17 07:00:00,7324.8701171875,7332.5,7304.2900390625,7314.169921875,0
1,2023-07-17 08:00:00,7303.330078125,7325.580078125,7300.97998046875,7324.91015625,0
2,2023-07-17 09:00:00,7276.22998046875,7304.85986328125,7272.93017578125,7303.7900390625,0
3,2023-07-17 10:00:00,7281.6201171875,7288.1201171875,7276.9599609375,7276.9599609375,0
4,2023-07-17 11:00:00,7270.81005859375,7287.759765625,7270.2001953125,7281.8701171875,0
5,2023-07-17 12:00:00,7285.6201171875,7291.669921875,7268.72998046875,7270.25,0
6,2023-07-17 13:00:00,7292.31982421875,7295.81982421875,7281.0,7285.43017578125,0
7,2023-07-17 14:00:00,7291.91015625,7296.0,7286.330078125,7293.97998046875,0
8,2023-07-17 15:00:00,7289.68017578125,7291.0400390625,7284.27001953125,7291.0400390625,0
9,2023-07-18 07:00:00,7308.39013671875,7309.77978515625,7279.490234375,7280.18994140625,0
10,2023-07-18 08:00:00,7295.0400390625,7312.0400390625,7290.3701171875,7307.7001953125,0
11,2023-07-18 09:00:00,7297.0,7302.47021484375,7292.490234375,7295.0498046875,0
12,2023-07-18 10:00:00,7293.0,7297.22998046875,7287.009765625,7297.14990234375,0
13,2023-07-18 11:00:00,7289.16015625,7296.02001953125,7285.93994140625,7292.39013671875,0
14,2023-07-18 12:00:00,7281.580078125,7290.43017578125,7278.22998046875,7289.22998046875,0
15,2023-07-18 13:00:00,7300.4501953125,7301.68994140625,7275.52001953125,7281.27978515625,0
16,2023-07-18 14:00:00,7322.009765625,7322.009765625,7302.5,7302.77001953125,0
17,2023-07-18 15:00:00,7325.6298828125,7326.72021484375,7320.0,7321.72998046875,0
18,2023-07-19 07:00:00,7342.39990234375,7382.89013671875,7341.64013671875,7369.7998046875,0
19,2023-07-19 08:00:00,7366.830078125,7366.91015625,7341.16015625,7342.10986328125,0
20,2023-07-19 09:00:00,7359.72998046875,7368.89990234375,7357.83984375,7365.7001953125,0
21,2023-07-19 10:00:00,7354.66015625,7360.02978515625,7345.7001953125,7359.89990234375,0
22,2023-07-19 11:00:00,7339.330078125,7356.7900390625,7332.14990234375,7355.60986328125,0
23,2023-07-19 12:00:00,7317.60986328125,7341.18017578125,7317.5400390625,7339.08984375,0
24,2023-07-19 13:00:00,7344.97998046875,7345.08984375,7317.759765625,7318.6201171875,0
25,2023-07-19 14:00:00,7337.35986328125,7346.16015625,7330.60009765625,7345.1201171875,0
26,2023-07-19 15:00:00,7335.58984375,7337.89013671875,7330.0498046875,7337.3798828125,0
27,2023-07-20 07:00:00,7348.81005859375,7349.2001953125,7301.1201171875,7302.22021484375,0
28,2023-07-20 08:00:00,7353.89990234375,7361.93017578125,7347.0,7349.169921875,0
29,2023-07-20 09:00:00,7350.5,7354.14013671875,7339.68017578125,7353.669921875,0
30,2023-07-20 10:00:00,7353.330078125,7357.33984375,7349.08984375,7349.8701171875,0
31,2023-07-20 11:00:00,7356.8701171875,7357.830078125,7348.5400390625,7352.83984375,0
32,2023-07-20 12:00:00,7353.60009765625,7357.68017578125,7351.58984375,7357.02001953125,0
33,2023-07-20 13:00:00,7388.419921875,7388.419921875,7351.89990234375,7353.75,0
34,2023-07-20 14:00:00,7379.4501953125,7390.31005859375,7361.9599609375,7388.56982421875,0
35,2023-07-20 15:00:00,7388.31005859375,7391.4501953125,7378.35009765625,7379.22998046875,0
36,2023-07-21 07:00:00,7389.3701171875,7408.43994140625,7379.6201171875,7389.509765625,0
37,2023-07-21 08:00:00,7405.83984375,7405.97021484375,7386.5,7389.3701171875,0
38,2023-07-21 09:00:00,7400.08984375,7407.009765625,7391.93017578125,7405.66015625,0
39,2023-07-21 10:00:00,7406.5,7409.22021484375,7398.52001953125,7400.6201171875,0
40,2023-07-21 11:00:00,7396.0498046875,7407.60009765625,7395.39013671875,7407.0,0
41,2023-07-21 12:00:00,7428.08984375,7428.47998046875,7392.83984375,7395.81982421875,0
42,2023-07-21 13:00:00,7410.1201171875,7433.31005859375,7408.14990234375,7427.740234375,0
43,2023-07-21 14:00:00,7428.83984375,7429.8701171875,7409.66015625,7410.6201171875,0
44,2023-07-21 15:00:00,7430.39990234375,7430.72998046875,7425.77001953125,7428.72021484375,0
45,2023-07-24 07:00:00,7407.89990234375,7416.2998046875,7390.81982421875,7405.66015625,0
46,2023-07-24 08:00:00,7418.10009765625,7418.7001953125,7396.5,7408.740234375,0
47,2023-07-24 09:00:00,7420.259765625,7425.10009765625,7413.47998046875,7418.60009765625,0
48,2023-07-24 10:00:00,7404.08984375,7420.83984375,7403.64013671875,7419.8798828125,0
49,2023-07-24 11:00:00,7397.1201171875,7404.3701171875,7395.0498046875,7403.72021484375,0
50,2023-07-24 12:00:00,7398.64013671875,7400.06005859375,7391.9501953125,7397.14013671875,0
51,2023-07-24 13:00:00,7406.7099609375,7413.02978515625,7396.10009765625,7399.06005859375,0
52,2023-07-24 14:00:00,7424.580078125,7425.60009765625,7402.97021484375,7406.93017578125,0
53,2023-07-24 15:00:00,7432.2001953125,7435.93017578125,7424.72998046875,7424.72998046875,0
54,2023-07-25 07:00:00,7416.18994140625,7450.3701171875,7403.7998046875,7449.93994140625,0
55,2023-07-25 08:00:00,7434.56005859375,7443.52978515625,7411.60986328125,7415.47998046875,0
56,2023-07-25 09:00:00,7445.7900390625,7445.7900390625,7429.93017578125,7435.240234375,0
57,2023-07-25 10:00:00,7439.33984375,7445.9599609375,7432.8701171875,7445.33984375,0
58,2023-07-25 11:00:00,7445.2998046875,7448.3701171875,7438.27001953125,7440.02978515625,0
59,2023-07-25 12:00:00,7426.5,7448.3701171875,7426.18017578125,7445.31005859375,0
60,2023-07-25 13:00:00,7423.990234375,7427.85986328125,7401.830078125,7426.259765625,0
61,2023-07-25 14:00:00,7414.58984375,7427.31005859375,7414.58984375,7424.39990234375,0
62,2023-07-25 15:00:00,7413.0400390625,7415.16015625,7406.43017578125,7414.77001953125,0
63,2023-07-26 07:00:00,7350.3798828125,7369.06982421875,7328.85986328125,7363.5400390625,0
64,2023-07-26 08:00:00,7320.35986328125,7348.39990234375,7319.419921875,7348.33984375,0
65,2023-07-26 09:00:00,7300.77978515625,7327.8701171875,7294.89990234375,7321.25,0
66,2023-07-26 10:00:00,7280.759765625,7302.52978515625,7270.759765625,7300.60986328125,0
67,2023-07-26 11:00:00,7274.5400390625,7283.18017578125,7265.14013671875,7281.02001953125,0
68,2023-07-26 12:00:00,7259.97021484375,7279.39990234375,7252.9599609375,7274.18017578125,0
69,2023-07-26 13:00:00,7278.0498046875,7278.68017578125,7251.02001953125,7260.89990234375,0
70,2023-07-26 14:00:00,7299.490234375,7302.68017578125,7274.27001953125,7277.39013671875,0
71,2023-07-26 15:00:00,7312.33984375,7317.10009765625,7298.8798828125,7300.240234375,0
72,2023-07-27 07:00:00,7387.7998046875,7394.93994140625,7340.02978515625,7358.66015625,0
73,2023-07-27 08:00:00,7428.10009765625,7428.43994140625,7387.47998046875,7387.47998046875,0
74,2023-07-27 09:00:00,7412.5498046875,7428.509765625,7408.43994140625,7428.509765625,0
75,2023-07-27 10:00:00,7416.68994140625,7417.2998046875,7409.18017578125,7411.7900390625,0
76,2023-07-27 11:00:00,7437.64990234375,7438.22021484375,7408.43017578125,7418.06005859375,0
77,2023-07-27 12:00:00,7451.39013671875,7459.6298828125,7435.02001953125,7437.81005859375,0
78,2023-07-27 13:00:00,7473.6201171875,7477.10986328125,7446.22998046875,7452.35986328125,0
